Turkish,English
bir,one
ve,and
olmak,be
bu,this
için,for
o,he is
ben,I
demek,means
çok,lots
yapmak,to do
ne,What
gibi,like
daha,more
almak,receive
var,there is
kendi,own
gelmek,come
ile,with
vermek,to give
ama,but
sonra,Then
kadar,until
yer,Location
en,most
insan,human
değil,not
her,each
istemek,to want
yıl,year
çıkmak,exit
görmek,to see
gün,day
biz,We
gitmek,to go
iş,work
şey,thing
ara,Search
ki,that
bilmek,to know
el,hand
zaman,time
ya,ya
çocuk,child
iki,two
bakmak,to look
çalışmak,work
içinde,inside
büyük,large
yok,none
başlamak,to start
yol,path
kalmak,to stay
neden,why
siz,you
konu,topic
yapılmak,be done
iyi,good
kadın,woman
ev,House
ise,if
diye,saying
bulunmak,have
söylemek,say
göz,eyelash
gerekmek,require
dünya,world
baş,head
durum,situation
yan,side
geçmek,to go past
sen,joyful
onlar,them
yeni,new
önce,before
başka,Another
hal,status
orta,middle
su,This
girmek,to enter
ülke,country
yemek,food
hiç,none
bile,even
nasıl,How
bütün,all
karşı,against
bulmak,to find
böyle,like this
yaşamak,to live
düşünmek,to think
aynı,same
iç,internal
ancak,However
kişi,person
bunlar,these
veya,or
ilk,first
göre,by
ön,front
son,end
biri,somebody
şekil,shape
önemli,important
yüz,face
hem,both
göstermek,to show
etmek,to make
alt,lower
getirmek,to bring
kullanmak,to use
çünkü,because
taraf,side
şimdi,now
adam,man
onun,her
diğer,other
artık,Now
üzerinde,over
ses,sound
hep,always
doğru,true
durmak,stop
kız,girl
tüm,all
çekmek,to pull
konuşmak,to talk
para,money
anlamak,to understand
anne,mother
az,little
